iter	Logloss
0	0.6903860045
1	0.6901111626
2	0.6899597833
3	0.6897998462
4	0.6897434427
5	0.6896810295
6	0.6896748017
7	0.6896659293
8	0.6896659293
9	0.6896545914
10	0.6896373493
11	0.6896363923
12	0.6896324861
13	0.6896173573
14	0.6896154599
15	0.689563673
16	0.689562151
17	0.6895588122
18	0.6895572423
19	0.6895312525
20	0.6894768652
21	0.6894696877
22	0.6894526852
23	0.6894470988
24	0.6894471471
25	0.6894434416
26	0.6894433103
27	0.6894418777
28	0.6894283403
29	0.6894195354
30	0.689419323
31	0.6894147032
32	0.6894082526
33	0.6894042561
34	0.6894044639
35	0.6893887937
36	0.6893754143
37	0.6893739159
38	0.6893726494
39	0.6893721459
40	0.6893725083
41	0.6893390354
42	0.689337126
43	0.689337868
44	0.6893335306
45	0.6893293082
46	0.6893296318
47	0.6893292286
48	0.6893292514
49	0.6893291555
50	0.6893174003
51	0.689317396
52	0.6893173774
53	0.6893158888
54	0.6893147191
55	0.6892956862
56	0.6892958361
57	0.6892916306
58	0.6892914942
59	0.689287204
60	0.6892868477
61	0.6892865661
62	0.6892871083
63	0.6892861544
64	0.6892839026
65	0.6892764805
66	0.6892757433
67	0.6892745351
68	0.6892739726
69	0.6892444162
70	0.6892421683
71	0.6892415425
72	0.6892400648
73	0.6892397001
74	0.6892397395
75	0.6892390504
76	0.6892236586
77	0.689222717
78	0.6892215073
79	0.6892207735
80	0.6892209186
81	0.6892161282
82	0.6892169133
83	0.689215169
84	0.6892127372
85	0.6892127372
86	0.6892127372
87	0.6892127372
88	0.6892127372
89	0.6892127372
90	0.6892127372
91	0.6892126831
92	0.689212802
93	0.6892126808
94	0.6892126808
95	0.6892126808
96	0.6892130438
97	0.689213097
98	0.6892129905
99	0.6892140025
100	0.689213091
101	0.689213091
102	0.6892104998
103	0.6892089257
104	0.6892081476
105	0.6892081476
106	0.689208723
107	0.6892032467
108	0.6892032328
109	0.6892029237
110	0.6892032221
111	0.6892034013
112	0.6892024834
113	0.689202457
114	0.6892026084
115	0.6892019542
116	0.6892019404
117	0.6892020313
118	0.6892027545
119	0.6892020552
120	0.6892028645
121	0.6892027942
122	0.6892026979
123	0.6892030678
124	0.689202406
125	0.689202406
126	0.689202406
127	0.6892025695
128	0.6892015115
129	0.6891995787
130	0.689199431
131	0.6891987344
132	0.6891985866
133	0.6891995283
134	0.6891993589
135	0.6891984006
136	0.6891981417
137	0.6891979772
138	0.6891979906
139	0.6891986128
140	0.6891986146
141	0.6891973928
142	0.6891973733
143	0.6891966372
144	0.6891981928
145	0.6891982862
146	0.689196937
147	0.689196937
148	0.6891975074
149	0.6891967931
150	0.6891967738
151	0.6891967738
152	0.6891983488
153	0.6891984336
154	0.6891979596
155	0.6891980175
156	0.6891979797
157	0.689196607
158	0.689196607
159	0.689196607
160	0.689196607
161	0.6891965742
162	0.6891965795
163	0.6891965671
164	0.6891966054
165	0.6891966054
166	0.6891966054
167	0.6891965941
168	0.689196348
169	0.689196348
170	0.6891963472
171	0.6891963424
172	0.6891963424
173	0.6891975975
174	0.6891977886
175	0.6891973314
176	0.6891959068
177	0.6891947738
178	0.6891955216
179	0.689194575
180	0.6891945338
181	0.6891945338
182	0.6891946205
183	0.6891924467
184	0.6891913058
185	0.6891913669
186	0.6891929243
187	0.6891679214
188	0.6891687505
189	0.6891682999
190	0.6891676644
191	0.6891676835
192	0.6891686771
193	0.6891655239
194	0.6891638161
195	0.6891625763
196	0.6891631118
197	0.6891633907
198	0.6891630919
199	0.6891627255
